chinese,count,korean,english
全民,79,전 국민,the whole nation
軍委,79,군사 위원회,Military Commission
民眾黨,79,민중당,People's Party of China
王毅,79,왕이,Wang Yi (disambiguation)
蔡其昌,78,채기창,Cai Qichang (disambiguation)
民意,78,민의,public opinion
患者,78,환자,patient
黨內,78,당내,within the party
雙邊,77,쌍방,bilateral
權利,77,권리,Rights
手機,76,휴대전화,Cell phones
理事,76,이사,Governing Council
慢性病,76,,
中國大陸,76,중국대륙,People's Republic of China
精神,76,정신,spirit
威權,75,위세,authority
理念,75,이념,philosophy
主委,74,주임 위원,chairperson
基地,74,기지,Base (disambiguation)
領土,74,영토,Territories
綠營,74,녹영,Green camp
事業,73,사업,undertaking
江聰淵,73,강총연,Kang Cong-yeon (disambiguation)
指揮官,73,수나크,Sunak (disambiguation)
警告,73,경고한다.,warn
布局,73,배치,layout
柯志恩,72,샤오메이친,Xiao Meiqin (disambiguation)
兵役,72,병역,Military service
法律,72,법률,Law
國外,72,국외,Overseas
專利,71,특허,Patents
犯台,71,반역하다,a criminal's platform
中美,71,중미,Central America
官媒,70,관영 매체,state-run media
議會,70,의회,Parliament
對台,70,카운터,face each other in Taiwan
聯合國,70,국제 연합,UNITED NATIONS
資深,70,경력이 풍부한,seniority
錯誤,70,잘못,Mistake
太平洋,69,태평양,Pacific Ocean (disambiguation)
軍隊,69,군대,Military
澳門,69,마카오,Macao (People's Republic of)
團體,69,단체,Organizations
程序,69,절차,Procedure (disambiguation)
蕭茲,68,쇼지,Shaws (disambiguation)
兒童,68,어린이,Children
評論,67,평론,Commentary
實力,67,실력,strength
成果,67,성과,Outcome
意圖,67,의도,Intention
成本,67,원가,Cost
共軍,67,공산군,Communist army
股價,67,주가,stock price
戰場,67,전쟁터,Battlefield (disambiguation)
荷蘭,66,네덜란드,Netherlands
重慶,66,충칭,Chongqing Municipality
代價,66,대가,cost
莫德納,66,모데나,Modena (disambiguation)
義務役,66,의무역,compulsory service
糧食,65,식량,Food
人才,65,인재,a man of talent
侯友宜,65,허우이,Hou Youyi
意志,65,의지,will
公告,65,공고하다,public announcement
經歷,65,경험하다.,experience
工廠,65,공장,Factory
陳其邁,65,천치마이,Chen Chi-mai (disambiguation)
支持者,65,지지자,supporters
貢獻,65,공헌하다,contribute
市政,65,교과 과정,Courses
選票,64,투표용지,Ballot papers
黨員,64,당원,Party members
對岸,64,맞은편 기슭,the other side
郭台銘,64,서정정,Xu Dingzheng (disambiguation)
行為,64,행위,conduct
莫斯科,64,모스크바,Moscow (disambiguation)
物資,64,물자,material goods
台北,64,민방위,Civil Defence
傳統,64,전통,Traditional
路線,64,노선,course
決心,64,마음먹다,resolve
染疫,64,감염되다,be infected with an epidemic
協會,63,협회,Association
家人,63,가족,Family
交易,63,거래하다,trade
機關,63,계략,organs
商業,63,상업,Commercial activities
學校,63,학교,Schools
全力,63,전력,with all one's might
航空,63,항공,Air transportation
外資,63,외자,Foreign investment
主管,63,주관하다,head of a department
汽車,63,자동차,Motor vehicles
醫學,62,양성,positive
庫存,62,재고품,Stockpile
重度,62,,
菲律賓,62,필리핀,Philippines national football team
李克強,62,리커창,Li Keqiang (disambiguation)
廣州,62,병원,hospital
距離,62,거리,distance
分歧,61,의견차이,divergence of opinion
台南市,61,타이난 시,City of Tainan
家族,61,입법원,House of Representatives
智慧,61,지혜롭다,wisdom
速度,61,속도,speed
鄭文燦,61,정문찬,Jeong Mun-chan (disambiguation)
警方,61,경찰,Police officers
公平,61,공평하다,Fairness
出境,60,출국하다,leave the country
藥品,60,약품,Drugs
南海,60,남해,South China Sea
情報,60,정보,information
馬克宏,59,마크혼,Macon (disambiguation)
武漢,59,마음,mood
家庭,59,가정,Family
民防,59,민방위,Civil Defence
意見,59,의견,Views
心理,59,심리,psychological
民調,59,여론조사,public opinion poll
部署,58,배치하다,Deployment
九二共識,58,92. 컨센서스,The 1992 Consensus
飛機,58,비행기,Aircraft
共產黨,58,공산당,Communist Party of the People's Republic of China
航空器,58,,
黨部,58,당사,party headquarters
情緒,58,정서,emotion
土地,57,땅,land
智庫,57,싱크탱크,think tank
北京市,57,베이징시,Beijing Municipality
體制,57,체제,Institution
連江縣,57,,
經理,57,사장님,Manager (disambiguation)
法人,56,법인,corporation
體系,56,체계,system
大國,56,대국,great power
華盛頓,56,워싱턴,"Washington, D.C."
前景,56,전망,Prospects
案件,56,사건,Cases
盧秀燕,56,노수연,"Lu Hsiu-yan, Queen of China"
形勢,55,형세,the state of affairs
辯論,55,변론하다,Debate
伊朗,55,이란,Iran (disambiguation)
行徑,55,행동,conduct
視訊,55,영상,Television broadcasting
龐皮歐,55,,
土耳其,55,터키,Turkish national football team
資格,55,자격,Qualifications
紀錄,55,기록하다.,record
柬埔寨,54,캄보디아,Category: Cambodia
候選人,54,허난 성,Henan Province
結構,54,짜임새,Structure
口號,54,구호,slogan
阿拉伯,54,아랍,Arab States
林佳龍,54,임가룡,Lin Jialong (disambiguation)
工具,54,공구,Tools
全體,54,전체,all
徐巧芯,54,쉬차오신,Xu Qiaoxin (disambiguation)
決策,54,결책,Decision-making
台美,54,타이메이,Taiwan and the United States
數位,54,숫자,Number of digits
禁令,54,금령,Prohibition
慣例,53,관례,conventional practice
市府,53,시청,municipal government
坦言,53,허심탄회하다,confess
外委會,53,외부 위원회,Foreign Affairs Committee
上台,53,무대에 오르다,take the stage
染病,53,병에 걸리다,get sick
衛福部,53,위복부,Ministry of Health and Welfare
總部,53,본부,Headquarters
證明,53,증명하다.,attest
選項,53,옵션,Options
民生,52,민생,people's livelihood
人力,52,인력,manpower
思想,52,사상,thought
廈門,52,샤먼,Xiamen International Airport
修正,52,수정하다,amend
決議,52,결의,Resolution
貨幣,51,화폐,Currency
廠區,51,공장 구역,factory area
20國集團,51,주요 20개국,Group of 20
大使,51,대사,Ambassador to the United Nations
石油,51,석유,Oil (disambiguation)
遊客,51,관광객,tourist
示威,51,시위,Demonstrations
公眾,51,공중,Public
營運,51,운영하다,Operations
大眾,51,대중,the general public
台東,51,타이둥,Taitung (disambiguation)
敵人,50,적,enemy
信任,50,신임,trust
慈濟,50,츠지,Tzu Chi Corporation
國安,50,궈안,national security
權益,50,권익,Rights and interests
資產,50,자산,Assets
幼兒,50,,
費用,50,비용,Cost
境內,50,경내,within the territory
案例,49,사례,Case study
方針,49,방침,policy
海軍,49,해군,Navy (disambiguation)
北約,49,북대서양조약기구,North Atlantic Treaty Organization (NATO)
林智堅,49,임지견,Lin Chi-jian (disambiguation)
資本,49,자본,Capital (economics)
博士,49,박사,Doctor of Science
律師,49,민심,public sentiment
學術,49,학술,Scholarly
總體,49,총체적,Overall
四川,48,쓰촨성,"Sichuan Province, China"
黨章,48,당헌,Party Constitution
國務,48,국무,state affairs
陳玉珍,48,천위진,Chen Yu-chen (disambiguation)
水準,48,수준,standard
來源,48,출처,Source of information
形態,48,형태,morphology
成績,48,성적,Achievements
薛瑞元,48,설서원,Xue Ruiyuan (disambiguation)
成都,48,피해자,Victims
義務,48,의무,Obligations
品質,48,품질,quality
機率,47,확률,probability
胡春華,47,권력을 잡다,come to power
軍備,47,군비,Armaments
憲法,47,헌법,Constitution of the People's Republic of China
病房,46,,
回家,46,집에 돌아왔다.,Go home.
人群,46,군중,crowd
財政,46,재정,Finance
形象,46,형상,Image (disambiguation)
法治,46,법치,Rule of law
形式,46,형식,form
邱國正,46,무한,Wuhan International Airport
國慶,46,국경일,National Day of the People's Republic of China
指導,46,지도하다,guidance
負責任,46,책임을 지다,take responsibility
東南亞,45,동남아시아,South-East Asia
黨團,45,패거리 단체,caucus
中共中央,45,중국공산당 중앙위원회,Central Committee of the Communist Party of China
美軍,45,미군,U.S. military
經濟部,45,민주화,democratization
老人,45,노인,Old man
學院,45,학원,College of Education
海珠,45,,
經濟體,45,경제체,Economy
馬祖,45,마조,Mazu (disambiguation)
曝光,45,폭로하다,exposure
孩子,45,아이,Child
協商,45,협상하다,consultation
張忠謀,44,장충모,Chang Chung-mou (disambiguation)
醫生,44,의사,Doctor of Medicine
變種,44,변종,Variant species
韓國瑜,44,한유,Korea Yu
執政黨,44,여당,ruling party
證實,44,실증하다,confirm
司法,44,사법,Administration of justice
場所,44,장소,place
個人,44,개인,individual
理性,44,이성적,rationality
設廠,44,공장을 세우다,set up a factory
國門,44,국경,nationality
風險區,44,,
股市,43,주식 시장,Stock market
醫,43,치료하다,Medical
封城,43,도시를 봉하다,closed city
執政,43,집정하다,govern
國台辦,43,중화인민공화국 대만 사무소,National Taiwan Affairs Office
爆料,43,천안,Cheonan (People's Republic of China)
專制,43,전제,despotic
過度,43,지나치다,overdo
選情,43,선거 상황,election sentiment
蒙古,43,유행성 감기,Influenza (disambiguation)
電腦,43,컴퓨터,Computer systems
流感,43,유행성 감기,Influenza (disambiguation)
外交政策,43,외교 정책,Foreign policy
施政,42,시정하다,Governance
法院,42,매스컴,Media coverage
幹部,42,간부,cadres
毛澤東,42,마오쩌둥,Mao Zedong (disambiguation)
陳吉仲,42,진길중,Chen Gil-jung (disambiguation)
國民,42,국민,nationality
同志,42,동지,comrade
藍營,42,란잉,Camp Blue (disambiguation)
席次,42,해선,sea-line
錯,42,틀리다.,mistake
上市,41,시장에 나오다,Listing
空氣,41,공기,air
陣營,41,진영,camp
會場,41,수산물,Aquatic products
全市,41,시 전체,the whole city
國葬,41,국장,state funeral
保護力,41,,
教育部,41,강권,totalitarian government
秘書長,41,사무총장,Secretary-General
道路,41,도로,Roads
特色,41,특색,characteristic
核武,41,핵무기,Nuclear weapons
預料,41,예상하다.,anticipate
細節,40,세부 사항,Details
遺體,40,유골,remains
派系,40,파벌,faction
東亞,40,동아시아,East Asia
高階,40,높은 계급,higher order
軍力,40,군사력,military strength
女王,40,여왕,Queen of the United Kingdom
代工,40,위탁생산자,foundry
動員,40,동원하다.,mobilize
負面,40,부정적,negative
力道,40,힘,force path
河南,40,허난 성,Henan Province
邱太三,39,구태삼,Qiu Tai-san (disambiguation)
美國聯邦眾議院,39,미국 연방 하원,U.S. House of Representatives
霸凌,39,실리콘밸리,Silicon Valley (disambiguation)
效應,39,효과,effect
美國眾議院,39,미국 하원,U.S. House of Representatives
典禮,39,의식,ceremony
架構,39,짜임새,architecture
集體,39,단체,collective
小心,39,구태삼,Qiu Tai-san (disambiguation)
病人,39,환자,patient
街道,39,거리,Street (disambiguation)
航行,39,항해하다,sail
高峰會,39,정상회담,summit
兵力,39,병력,military strength
住宅,39,주택,Residential
軍方,39,군부,Military
空軍,39,공군,Air Force
鄧小平,38,덩샤오핑,Deng Xiaoping (disambiguation)
業績,38,업적,Performance
銀行,38,은행,Bank of China
戰機,38,전투기,warplane
保險,38,금마,golden horse
內政,38,내정,Internal affairs
軍艦,38,군함,a warship
長期,38,장기간,long-term
司令,38,사령관,Commander-in-chief
精準,38,정확하다,precise
電動車,38,전동차,Electric vehicle
院所,38,,
總裁,37,총재,President
文明,37,문명,civilization
消費者,37,소비자,consumers
營業,37,영업,Business operations
紐西蘭,37,뉴질랜드,New Zealand
王定宇,37,왕딩위,Wang Dingyu (disambiguation)
邏輯,37,논리학,logic
正義,37,정의,Justice (disambiguation)
水產品,37,우쓰야오,Wu Siyao (disambiguation)
首長,37,우두머리,chief
知情,37,사정을 알다,be aware of
藝術,37,예술,Artistic
吳思瑤,37,,
長者,37,윗사람,the elderly
軍機,37,군사 기밀,military aircraft
地下,36,지하,underground
槍,36,총,a gun.
流程,36,보건위원회,National Health Commission
營收,36,영업 수입,Revenue (United States dollars)
高喊,36,사회면,social aspect
中東,36,중동,Middle East
首席,36,수석,chief
有力,36,힘차다,powerful
總統府,36,대통령궁,Presidential Palace
幅度,36,폭,width
內閣,36,내각,Cabinet of Ministers
家屬,36,가족,Family members
安倍,36,아베,Abe (disambiguation)
涵蓋率,36,,
百姓,36,백성,common people
定位,36,위치하고 있다.,positioning
補件,36,보충 부품,Supplementary parts
薪資,36,급료,Salary
蔣孝嚴,35,장샤오옌,Jiang Hsiao-yan (disambiguation)
海上,35,바다 위,at sea
待遇,35,대우,Treatment
國安會,35,국가 안전 보장 이사회,National Security Council
登場,35,등장하다.,make one's appearance
工人,35,최전선,front
學位,35,원회,House of Representatives
社會面,35,,
深圳,35,심천,City of Shenzhen
邱垂正,35,구수정,Qiu Tsing-cheng (disambiguation)
原料,35,원료,raw material
商機,35,상업 기회,business opportunity
任命,35,임명하다,Appointments
負責人,35,책임자,Responsible person
紐約,35,뉴욕,New York City
效益,35,효과와 이익,benefit
不法,35,불법이다,wrongdoing
野心,34,야심,ambition
公約,34,공약,Conventions
房價,34,주택 가격,house price
死因,34,,
願景,34,희망,vision
沙國,34,사국,Kingdom of Saudi Arabia
輕症,34,,
現實,34,현실적이다,Reality
上海市,34,상하이 시,City of Shanghai
中央政府,34,중국 민중,Category: People of China
跌幅,34,하락폭,decline
遭遇,34,당했다.,encounter
軍人,34,군인,Military personnel
意願,34,바람,Willingness
實質,34,본질,substance
賀錦麗,34,허진리,He Chin-li
黑道,34,암흑가,black-spotted woodpecker
建構,33,구성하다,construct
職務,33,직무,Duties
王滬寧,33,을관,second tube
醫療量,33,의료량,amount of medical care
美國國務院,33,미국 국무부,U.S. State Department
戰區,33,전역,theater of war
地震,33,지진,earthquake
食藥,33,뤄즈정,Law Chi-jeong (disambiguation)
普萊斯,33,대리,Acting
政績,33,인생,life
得票率,33,득표율,percentage of votes cast
雙城,33,쌍둥이 도시,Twin Cities
工業,33,인더스트리얼,Industry
客運,33,여객운송,Passenger transportation
陳明通,33,천밍퉁,Chen Mingtong (disambiguation)
岸田文雄,33,기시다 후미오,Fumio Kishida (disambiguation)
中俄,33,중러,China and Russia
人潮,33,인파,a crowd of people
印象,33,인상,impression
思維,33,생각하다,thinking
丁薛祥,33,딩쉐샹,Ding Xuexiang (disambiguation)
街頭,33,가두,street
條例,33,롄장현,Lianjiang County
李德,33,이덕,Reed (disambiguation)
同仁,33,동인,colleagues
群體,33,붉은색,red
對方,33,상대편,the other side
中線,33,센터 라인,Midline (disambiguation)
差距,33,차이가 있다.,Disparity
比重,32,비중,specific gravity
全黨,32,법원,Courts of Justice
假訊息,32,가짜 메시지,false information
離島,32,섬,Outlying Islands
企業家,32,기업가,entrepreneurs
烏魯木齊,32,우루무치,Urumqi Municipality
強勢,32,세다,strong
中資,32,집에서 지내다,stay-at-home
議程,32,의사일정,Agenda for the biennium 2002-2003
新任,32,신임,newly-appointed
障礙,32,장애,Obstacles
戰書,32,도전장,a letter of war
動作,32,동작,move
罪,32,여관,Hotel accommodation
景氣,32,호경기,prosperity
榮譽,32,시약,reagent
成就,32,성취하다.,Achievements
公園,32,마을 사람,countryman
中原,32,중원,Central Plains (disambiguation)
合法,32,합법적이다,legitimate
全台,32,임준헌,Lim Joon-heon (disambiguation)
友人,32,친구,friend
股票,32,주식,Stocks
紅線,32,붉은 실,red thread
戰事,31,전쟁,fighting
戰備,31,전쟁 준비,preparation for war
老年人,31,노인,Older persons
死亡率,31,사망률,Mortality rate
歐美,31,구미,Europe and the United States
瑞士,31,친척과 친구,relatives and friends
病毒感染,31,,
動力,31,동력,power
全程,31,전 과정,full course
高科技,31,하이테크,High-tech
港口,31,항구,Ports and harbours
利率,31,이자율,Interest rate
領先,31,선두에 서다,take the lead
債務,31,빚,Obligations
研究院,31,연구원,Research Institute
困境,31,곤경,a difficult situation
民怨,31,민원,complaints
仇恨,30,티베트,Tibet (disambiguation)
明白,30,알았다,I understand.
外交官,30,외교관,diplomatic service
海鮮,30,해산물,Seafood
核能,30,핵에너지,Nuclear power
外媒,30,외신,Foreign media
政壇,30,뤼이,Luey (disambiguation)
畢業,30,졸업,graduate
家園,30,유전자,Genetics (genetics)
現況,30,현황,Current status
物價,30,물가,Prices
聯合國大會,30,유엔 총회,United Nations General Assembly
物料,30,재료,material
秘書,30,연예인,entertainer
聲稱,30,주장하다,claim
材料,30,재료,Material
丘以思,30,,
人生,30,인생,life
矽谷,30,실리콘밸리,Silicon Valley (disambiguation)
天安,30,천안,Cheonan (People's Republic of China)
交通部,30,교통부,Ministry of Communications
福建,29,푸젠 성,Fujian Province
東京,29,도쿄,Tokyo Metropolitan Government
財產,29,국방위원회,National Defense Commission
烏茲別克,29,우즈베키스탄,Uzbekistan national football team
入境者,29,,
尹錫悅,29,윤석열,Yoon Suk Yeol
綠色,29,녹색,Green
中山,29,임정의,Lin Ching-yi (disambiguation)
滑雪,29,,
衛生組織,29,보건 기구,WHO
道理,29,조례,Regulations
以色列,29,이스라엘,Israel (disambiguation)
南京,29,난징,Nanking (disambiguation)
漲,29,오르다,rise
林穎孟,29,린잉멍,Lin Ying Meng (disambiguation)
農業,29,농업,agriculture
顧問,29,고문하다.,Consultants
海線,29,,
體驗,29,체험하다.,experience
